Wavenumber=2022.9153,Intensity=0.265302006399705
Wavenumber=2023.0307,Intensity=0.0980495895167188
Wavenumber=2027.65,Intensity=0.353321952634549
Wavenumber=2029.2377,Intensity=0.22483393292682
Wavenumber=2032.3539,Intensity=0.458563056594132
Wavenumber=2033.4182,Intensity=0.259271686954064
Wavenumber=2037.0262,Intensity=0.555386368860452
Wavenumber=2037.569,Intensity=0.294808624486728
Wavenumber=2041.2892,Intensity=0.181606959239668
Wavenumber=2041.4967,Intensity=0.111461587011216
Wavenumber=2041.6677,Intensity=0.633241617939448
Wavenumber=2043.9499,Intensity=0.0995671269926782
Wavenumber=2045.7778,Intensity=0.370602647354062
Wavenumber=2046.277,Intensity=0.734841961626216
Wavenumber=2049.8361,Intensity=0.399872965881456
Wavenumber=2050.8552,Intensity=0.801077270790769
Wavenumber=2053.8631,Intensity=0.439332309149945
Wavenumber=2055.4015,Intensity=0.857646896429182
Wavenumber=2057.8587,Intensity=0.446467595865145
Wavenumber=2058.0107,Intensity=0.180350302320929
Wavenumber=2059.9158,Intensity=0.910541804540374
Wavenumber=2060.4838,Intensity=0.101337115338692
Wavenumber=2061.8232,Intensity=0.479118494718738
Wavenumber=2064.398,Intensity=0.938602123833968
Wavenumber=2064.8547,Intensity=0.216209267319318
Wavenumber=2065.7559,Intensity=0.489270759763009
Wavenumber=2065.8488,Intensity=0.117657533785083
Wavenumber=2068.8479,Intensity=0.965159856980034
Wavenumber=2069.6584,Intensity=0.514058333137063
Wavenumber=2073.2656,Intensity=0.984852619851369
Wavenumber=2073.5265,Intensity=0.48528497112739
Wavenumber=2077.3639,Intensity=0.459238773162261
Wavenumber=2077.6508,Intensity=0.990252389752959
Wavenumber=2081.1694,Intensity=0.43172042834438
Wavenumber=2082.0034,Intensity=0.993236752422398
Wavenumber=2084.9427,Intensity=0.378366128369154
Wavenumber=2086.3231,Intensity=0.991555346598029
Wavenumber=2088.6837,Intensity=0.305691581671669
Wavenumber=2090.1032,Intensity=0.129545762841223
Wavenumber=2090.6098,Intensity=0.988813603890267
Wavenumber=2092.3917,Intensity=0.211748956611931
Wavenumber=2094.8635,Intensity=0.979385531705313
Wavenumber=2099.0838,Intensity=0.973269111688361
Wavenumber=2099.711,Intensity=0.207599567946856
Wavenumber=2103.2709,Intensity=0.973567363113358
Wavenumber=2106.8989,Intensity=0.393621044792272
Wavenumber=2107.4244,Intensity=0.968390417197218
Wavenumber=2109.9424,Intensity=0.183511621341136
Wavenumber=2110.4433,Intensity=0.455728982352662
Wavenumber=2111.5442,Intensity=0.954074587303087
Wavenumber=2113.9543,Intensity=0.49155030816432
Wavenumber=2115.6301,Intensity=0.954315179965995
Wavenumber=2116.8365,Intensity=0.185826707097364
Wavenumber=2117.4316,Intensity=0.515571950174959
Wavenumber=2119.6819,Intensity=0.959841059776395
Wavenumber=2120.2365,Intensity=0.199037226869937
Wavenumber=2120.8757,Intensity=0.525160000083477
Wavenumber=2123.6999,Intensity=0.958539772471489
Wavenumber=2124.2863,Intensity=0.53146317009305
Wavenumber=2127.6832,Intensity=0.939235595073306
Wavenumber=2131.0061,Intensity=0.518573067872472
Wavenumber=2131.6326,Intensity=0.983559382115111
Wavenumber=2134.3144,Intensity=0.48714489849643
Wavenumber=2135.5473,Intensity=0.99119752836504
Wavenumber=2136.1443,Intensity=0.0950501488126737
Wavenumber=2137.5889,Intensity=0.460405423978234
Wavenumber=2139.4271,Intensity=0.992919778296991
Wavenumber=2140.829,Intensity=0.435448899102235
Wavenumber=2144.0342,Intensity=0.401978166588506
Wavenumber=2147.0823,Intensity=0.997640403110473
Wavenumber=2147.2054,Intensity=0.356182739518642
Wavenumber=2150.3422,Intensity=0.321072071365687
Wavenumber=2150.8571,Intensity=0.9879183726038
Wavenumber=2153.4428,Intensity=0.279406997221706
Wavenumber=2154.5967,Intensity=0.970238121147201
Wavenumber=2156.5102,Intensity=0.238343509081255
Wavenumber=2158.3008,Intensity=0.963244536653413
Wavenumber=2159.5417,Intensity=0.216618304659478
Wavenumber=2161.9694,Intensity=0.954695417738328
Wavenumber=2165.6022,Intensity=0.957215827121501
Wavenumber=2169.1991,Intensity=0.953470571522355
Wavenumber=2172.7599,Intensity=0.946514193923649
Wavenumber=2176.2846,Intensity=0.954934758246112
Wavenumber=2179.773,Intensity=0.956126094405937
Wavenumber=2183.2249,Intensity=0.965020331123478
Wavenumber=2186.6402,Intensity=0.966431808079203
Wavenumber=2190.0188,Intensity=0.975660370214569
Wavenumber=2193.3603,Intensity=0.982883397228027
Wavenumber=2196.6648,Intensity=0.986246864767545
Wavenumber=2199.9322,Intensity=1
Wavenumber=2203.162,Intensity=0.997946584851248
Wavenumber=2206.3547,Intensity=0.986808963164876
Wavenumber=2209.5094,Intensity=0.977315838539963
Wavenumber=2212.6266,Intensity=0.958059064157149
Wavenumber=2215.7057,Intensity=0.926924405904567
Wavenumber=2218.7466,Intensity=0.900900031214438
Wavenumber=2221.7494,Intensity=0.836307489944747
Wavenumber=2224.7141,Intensity=0.776576291873782
Wavenumber=2227.6397,Intensity=0.704711531782231
Wavenumber=2230.527,Intensity=0.611109597262193
Wavenumber=2233.3754,Intensity=0.504220209962564
Wavenumber=2236.1849,Intensity=0.404346975762153
Wavenumber=2238.9549,Intensity=0.313959711014523
Wavenumber=2241.6858,Intensity=0.236108576159503
